# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08359040 0.13185130 0.22837310 
0.211964  0.187111 
0.212930  0.174058 
0.213895  0.161341 
0.214860  0.148948 
0.215825  0.136868 
0.216790  0.125087 
0.217756  0.113589 
0.218721  0.102358 
0.219686  0.091375 
0.220651  0.080620 
0.221617  0.070073 
0.222582  0.059709 
0.223547  0.049507 
0.224512  0.039440 
0.225477  0.029483 
0.226443  0.019609 
0.227408  0.009790 
0.228373  -0.000000 


0.000000  -0.000000 
0.000836  0.023093 
0.001672  0.046184 
0.002508  0.069271 
0.003344  0.092352 
0.004180  0.115424 
0.005015  0.138486 
0.005851  0.161535 
0.006687  0.184569 
0.007523  0.207587 
0.008359  0.230586 
0.009195  0.253565 
0.010031  0.276521 
0.010867  0.299451 
0.011703  0.322356 
0.012539  0.345231 
0.013374  0.368077 
0.014210  0.390889 
0.015046  0.413668 
0.015882  0.436410 
0.016718  0.459115 
0.017554  0.481779 
0.018390  0.504403 
0.019226  0.526983 
0.020062  0.549519 
0.020898  0.572008 
0.021733  0.594449 
0.022569  0.616841 
0.023405  0.639181 
0.024241  0.661469 
0.025077  0.683703 
0.025913  0.705881 
0.026749  0.728003 
0.027585  0.750066 
0.028421  0.772070 
0.029257  0.794013 
0.030093  0.815894 
0.030928  0.837713 
0.031764  0.859466 
0.032600  0.881155 
0.033436  0.902776 
0.034272  0.924331 
0.035108  0.945816 
0.035944  0.967232 
0.036780  0.988578 
0.037616  1.009852 
0.038452  1.031054 
0.039288  1.052182 
0.040123  1.073237 
0.040959  1.094216 
0.041795  1.115120 
0.042631  1.135947 
0.043467  1.156697 
0.044303  1.177369 
0.045139  1.197963 
0.045975  1.218477 
0.046811  1.238911 
0.047647  1.259264 
0.048482  1.279536 
0.049318  1.299726 
0.050154  1.319833 
0.050990  1.339857 
0.051826  1.359796 
0.052662  1.379651 
0.053498  1.399420 
0.054334  1.419104 
0.055170  1.438701 
0.056005  1.458210 
0.056841  1.477631 
0.057677  1.496964 
0.058513  1.516207 
