# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08776990 0.13844380 0.23979180 
0.219522  -0.094310 
0.220536  -0.101104 
0.221549  -0.105192 
0.222563  -0.107162 
0.223576  -0.107400 
0.224590  -0.106181 
0.225603  -0.103712 
0.226616  -0.100159 
0.227630  -0.095657 
0.228643  -0.090323 
0.229657  -0.084256 
0.230671  -0.077547 
0.231684  -0.070275 
0.232697  -0.062515 
0.233711  -0.054338 
0.234724  -0.045808 
0.235738  -0.036989 
0.236751  -0.027940 
0.237765  -0.018721 
0.238778  -0.009389 
0.239792  -0.000000 


0.000000  -0.000000 
0.000878  0.028045 
0.001755  0.056088 
0.002633  0.084123 
0.003511  0.112149 
0.004389  0.140162 
0.005266  0.168159 
0.006144  0.196136 
0.007022  0.224090 
0.007899  0.252018 
0.008777  0.279917 
0.009655  0.307784 
0.010532  0.335616 
0.011410  0.363409 
0.012288  0.391160 
0.013166  0.418867 
0.014043  0.446527 
0.014921  0.474136 
0.015799  0.501691 
0.016676  0.529190 
0.017554  0.556630 
0.018432  0.584008 
0.019309  0.611322 
0.020187  0.638568 
0.021065  0.665744 
0.021943  0.692847 
0.022820  0.719876 
0.023698  0.746827 
0.024576  0.773698 
0.025453  0.800486 
0.026331  0.827190 
0.027209  0.853806 
0.028086  0.880334 
0.028964  0.906770 
0.029842  0.933112 
0.030720  0.959359 
0.031597  0.985509 
0.032475  1.011559 
0.033353  1.037508 
0.034230  1.063354 
0.035108  1.089095 
0.035986  1.114729 
0.036863  1.140255 
0.037741  1.165671 
0.038619  1.190975 
0.039496  1.216167 
0.040374  1.241244 
0.041252  1.266205 
0.042130  1.291049 
0.043007  1.315774 
0.043885  1.340380 
0.044763  1.364864 
0.045640  1.389226 
0.046518  1.413464 
0.047396  1.437577 
0.048273  1.461565 
0.049151  1.485426 
0.050029  1.509158 
0.050907  1.532762 
0.051784  1.556236 
0.052662  1.579578 
0.053540  1.602788 
0.054417  1.625866 
0.055295  1.648809 
0.056173  1.671618 
0.057050  1.694290 
0.057928  1.716826 
0.058806  1.739224 
0.059684  1.761484 
0.060561  1.783604 
0.061439  1.805584 
0.062317  1.827422 
0.063194  1.849118 
0.064072  1.870672 
0.064950  1.892081 
0.065827  1.913345 
0.066705  1.934464 
0.067583  1.955435 
0.068460  1.976259 
0.069338  1.996934 
0.070216  2.017459 
0.071094  2.037834 
0.071971  2.058057 
0.072849  2.078128 
0.073727  2.098044 
0.074604  2.117806 
0.075482  2.137412 
0.076360  2.156861 
0.077238  2.176152 
0.078115  2.195284 
