# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.09238930 0.14573040 0.25241240 
0.000000  -0.000000 
0.000924  -0.014414 
0.001848  -0.028794 
0.002772  -0.043104 
0.003696  -0.057312 
0.004620  -0.071382 
0.005543  -0.085280 
0.006467  -0.098971 
0.007391  -0.112419 
0.008315  -0.125590 
0.009239  -0.138447 
0.010163  -0.150955 
0.011087  -0.163075 
0.012011  -0.174772 
0.012934  -0.186006 
0.013858  -0.196738 
0.014782  -0.206927 
0.015706  -0.216532 
0.016630  -0.225508 
0.017554  -0.233809 
0.018478  -0.241387 
0.019402  -0.248189 
0.020326  -0.254161 
0.021250  -0.259241 
0.022173  -0.263364 
0.023097  -0.266456 
0.024021  -0.268435 
0.024945  -0.269206 
0.025869  -0.268662 
0.026793  -0.266672 
0.027717  -0.263084 
0.028641  -0.257705 
0.029565  -0.250294 
0.030489  -0.240531 
0.031412  -0.227977 
0.032336  -0.211992 
0.033260  -0.191559 
0.034184  -0.164851 
0.035108  -0.127767 
0.036032  -0.063894 
0.036956  0.098017 
0.037880  0.157483 
0.038803  0.203845 
0.039727  0.244779 
0.040651  0.282744 
0.041575  0.318882 
0.042499  0.353823 
0.043423  0.387953 
0.044347  0.421522 
0.045271  0.454704 
0.046195  0.487622 
0.047119  0.520366 
0.048043  0.553003 
0.048966  0.585583 
0.049890  0.618145 
0.050814  0.650719 
0.051738  0.683326 
0.052662  0.715986 
0.053586  0.748710 
0.054510  0.781509 
0.055434  0.814391 
0.056357  0.847360 
0.057281  0.880421 
0.058205  0.913575 
0.059129  0.946823 
0.060053  0.980166 
0.060977  1.013603 
0.061901  1.047131 
0.062825  1.080751 
0.063749  1.114458 
0.064672  1.148250 
0.065596  1.182124 
0.066520  1.216077 
0.067444  1.250105 
0.068368  1.284205 
0.069292  1.318372 
0.070216  1.352602 
0.071140  1.386891 
0.072064  1.421236 
0.072988  1.455631 
0.073912  1.490073 
0.074835  1.524557 
0.075759  1.559078 
0.076683  1.593633 
0.077607  1.628218 
0.078531  1.662826 
0.079455  1.697456 
0.080379  1.732101 
0.081303  1.766758 
0.082226  1.801422 
0.083150  1.836090 
0.084074  1.870756 
0.084998  1.905417 
0.085922  1.940068 
0.086846  1.974706 
0.087770  2.009326 
0.088694  2.043924 
0.089618  2.078496 
0.090542  2.113037 
0.091466  2.147545 
